dataset,size,algorithm,mean,stddev,min,max,runtime_ms,successful_runs,requested_runs
C_10K_D.pnt,10000,DT_CES_SA,191.384,1.225038938156666,189.057,192.352,114998.138,5,5
C_10K_I.pnt,10000,DT_CES_SA,2761782000.0,9705185.005964596,2751410000.0,2776490000.0,20.919,5,5
