dataset,size,algorithm,mean,stddev,min,max,runtime_ms,successful_runs,requested_runs
spiral_2k.pnt,2000,distanceOrderedGreedy,62959.4,0.0,62959.4,62959.4,7.204,1,1
spiral_3k.pnt,3000,distanceOrderedGreedy,88118.6,0.0,88118.6,88118.6,13.349,1,1
spiral_50.pnt,50,distanceOrderedGreedy,2984.03,0.0,2984.03,2984.03,1.892,1,1
spiral_500.pnt,500,distanceOrderedGreedy,19347.8,0.0,19347.8,19347.8,2.985,1,1
U_10K_D.pnt,10000,distanceOrderedGreedy,4317.23,0.0,4317.23,4317.23,116.429,1,1
U_10K_I.pnt,10000,distanceOrderedGreedy,18817500000000.0,0.0,18817500000000.0,18817500000000.0,115.887,1,1
zigzag_1k.pnt,1000,distanceOrderedGreedy,39628.5,0.0,39628.5,39628.5,4.371,1,1
zigzag_200.pnt,200,distanceOrderedGreedy,9196.26,0.0,9196.26,9196.26,2.316,1,1
zigzag_25.pnt,25,distanceOrderedGreedy,1801.81,0.0,1801.81,1801.81,2.101,1,1
zigzag_2k.pnt,2000,distanceOrderedGreedy,66475.4,0.0,66475.4,66475.4,7.35,1,1
zigzag_3k.pnt,3000,distanceOrderedGreedy,104607.0,0.0,104607.0,104607.0,13.33,1,1
zigzag_50.pnt,50,distanceOrderedGreedy,2869.04,0.0,2869.04,2869.04,2.083,1,1
zigzag_500.pnt,500,distanceOrderedGreedy,17531.5,0.0,17531.5,17531.5,2.44,1,1
