dataset,size,algorithm,mean,stddev,min,max,runtime_ms,successful_runs,requested_runs
C_10K_D.pnt,10000,DT_CES_SA,190.8514,1.924779322415954,188.218,193.86,118348.645,5,5
C_10K_I.pnt,10000,DT_CES_SA,2764008000.0,15280136.648603637,2741430000.0,2780590000.0,19.94,5,5
Ci_10K_D.pnt,10000,DT_CES_SA,25283.120000000003,1819.6046454106458,23218.3,27822.5,5269119.569,5,5
Ci_10K_I.pnt,10000,DT_CES_SA,0.0,0.0,0.0,0.0,5.395,5,5
convex_1k.pnt,1000,DT_CES_SA,3181.846,23.563993379730913,3156.16,3222.21,1777.616,5,5
convex_200.pnt,200,DT_CES_SA,2349.778,19.787227597619538,2324.03,2384.64,253.625,5,5
convex_25.pnt,25,DT_CES_SA,1234.598,10.233457675683162,1224.65,1252.59,17.816,5,5
convex_2k.pnt,2000,DT_CES_SA,3461.8599999999997,27.342713106054408,3417.92,3495.85,4367.268,5,5
